iter	F1	Logloss
188	0.7135419857	0.5101583375
189	0.7131042088	0.5100106538
190	0.713162463	0.509929925
191	0.7133886728	0.5097927283
192	0.71378265	0.5096871594
193	0.7139649753	0.5095987975
194	0.7139212605	0.5095042705
195	0.714103519	0.509447475
196	0.7145041904	0.5092479451
197	0.7144385681	0.5090951739
198	0.7145913564	0.5089902073
199	0.7146059174	0.5089051954
